epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03442,1.59965,4.0907,1.62923,0.74143,0.66235,0.75102,0.54028,1.08898,7.6639,1.32669,0.00015719,0.00015719,0.00015719
2,16.1732,1.11402,1.85873,1.2606,0.58657,0.83038,0.83122,0.56546,1.17787,6.30211,1.39311,0.000322162,0.000322162,0.000322162
3,21.8349,1.25308,1.68153,1.37222,0.44672,0.64497,0.59102,0.4045,1.1646,4.54119,1.53115,0.000480344,0.000480344,0.000480344
4,26.5074,1.14382,1.60346,1.33096,0.56309,0.82391,0.71145,0.48484,1.14468,5.62022,1.53599,0.000631735,0.000631735,0.000631735
5,31.166,1.14227,1.2213,1.30725,0.49101,0.63882,0.56989,0.3779,1.29629,3.01038,1.75292,0.000776336,0.000776336,0.000776336
6,36.033,1.11399,1.54147,1.35691,0.60977,0.55449,0.54834,0.3343,1.35132,1.83838,1.74428,0.000914146,0.000914146,0.000914146
7,40.7869,1.13806,1.6568,1.34229,0.77811,0.73475,0.79698,0.5633,1.06566,2.45217,1.45195,0.00104516,0.00104516,0.00104516
8,45.7649,1.12622,1.45572,1.31254,0.6929,0.72636,0.83006,0.57463,1.07048,2.79697,1.4883,0.00116939,0.00116939,0.00116939
9,56.8932,1.23765,1.41645,1.40348,0.63496,0.78943,0.76347,0.46621,1.2383,1.91447,1.77209,0.00120265,0.00120265,0.00120265
10,61.9993,1.12696,1.26068,1.2931,0.65067,0.85265,0.83154,0.55127,1.1058,2.08302,1.54029,0.00117435,0.00117435,0.00117435
11,66.8199,1.13184,1.38622,1.34487,0.66025,0.70985,0.70032,0.47304,1.18814,1.22317,1.49196,0.00114606,0.00114606,0.00114606
12,72.1403,1.07812,1.06823,1.24443,0.53518,0.51553,0.51857,0.32083,1.32731,2.86239,1.60667,0.00111776,0.00111776,0.00111776
13,77.1747,1.11937,1.05964,1.29829,0.79249,0.80828,0.88198,0.63066,1.0412,1.59867,1.34807,0.00108947,0.00108947,0.00108947
14,82.6227,1.08117,1.10367,1.24435,0.81216,0.91528,0.95807,0.74124,0.93085,1.37464,1.30733,0.00106118,0.00106118,0.00106118
