epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.88365,1.66949,3.07562,2.17317,0.92131,0.05263,0.07769,0.01604,2.22693,4.97695,3.28849,4e-05,4e-05,4e-05
2,5.34915,1.7458,3.02009,2.20129,0.32531,0.47368,0.30139,0.1134,2.36851,4.60668,3.22555,9.802e-05,9.802e-05,9.802e-05
3,9.31845,1.74657,2.25502,2.04331,0.58507,0.57895,0.53839,0.19214,1.94021,6.25972,2.61823,0.000153664,0.000153664,0.000153664
4,11.1068,1.68496,2.37698,2.03587,0.59155,0.57895,0.56061,0.23108,1.71342,4.48621,2.47617,0.000206932,0.000206932,0.000206932
5,14.1337,1.55156,2.34806,1.83535,0.35855,0.68421,0.38401,0.21041,1.55691,2.20674,2.33423,0.000257824,0.000257824,0.000257824
6,15.7584,1.09878,1.81585,1.54466,0.78588,0.57957,0.75743,0.46069,1.61354,2.47554,2.35942,0.00030634,0.00030634,0.00030634
7,19.5464,1.28242,2.1872,1.56682,0.43521,0.63158,0.4777,0.23479,1.77079,2.07824,2.52697,0.00035248,0.00035248,0.00035248
8,21.0911,1.44504,2.10586,1.70763,0.51324,0.66642,0.5442,0.15561,1.82286,2.47436,2.54343,0.000396244,0.000396244,0.000396244
9,22.5428,1.25898,1.52737,1.61043,0.4481,0.47368,0.47406,0.16144,2.16445,2.63308,2.6444,0.000437632,0.000437632,0.000437632
10,24.1899,1.23693,1.65254,1.65147,0.47955,0.57895,0.55569,0.2479,2.0521,4.01665,3.03046,0.000476644,0.000476644,0.000476644
11,25.8719,1.55075,1.93766,1.97086,0.61538,0.42105,0.4827,0.20013,1.8752,10.1435,3.39058,0.00051328,0.00051328,0.00051328
12,27.5808,1.37182,1.71081,1.67249,0.5,0.26316,0.32202,0.11831,2.09589,12.8987,4.65294,0.00054754,0.00054754,0.00054754
13,29.5942,1.39548,1.95463,1.76755,0.32244,0.73684,0.4159,0.18518,1.33158,5.2884,2.50028,0.000579424,0.000579424,0.000579424
14,31.0649,1.51425,1.8557,1.73955,0.31818,0.36842,0.27949,0.13413,1.49459,17.8619,2.42385,0.000608932,0.000608932,0.000608932
15,36.0122,1.3739,2.20295,1.66359,0.31818,0.36842,0.27949,0.13413,1.49459,17.8619,2.42385,0.000636064,0.000636064,0.000636064
16,37.6753,1.29732,1.62568,1.54793,0.34375,0.57895,0.29359,0.11851,2.13602,25.7518,4.10139,0.00066082,0.00066082,0.00066082
17,39.5208,1.22489,1.52257,1.56587,0.4,0.52632,0.29557,0.11568,2.2308,13.3742,5.68777,0.0006832,0.0006832,0.0006832
18,41.1246,1.4822,1.32768,1.61494,0.4,0.52632,0.29557,0.11568,2.2308,13.3742,5.68777,0.000703204,0.000703204,0.000703204
19,46.3464,1.39947,1.44371,1.69391,0.22857,0.84211,0.24929,0.09798,1.939,40.2092,4.95306,0.000720832,0.000720832,0.000720832
20,47.8261,1.17948,1.35187,1.48655,0.26316,0.78947,0.25046,0.10859,1.41704,29.5908,3.92892,0.000736084,0.000736084,0.000736084
21,49.5718,1.19145,1.35065,1.50537,0.26316,0.78947,0.25046,0.10859,1.41704,29.5908,3.92892,0.00074896,0.00074896,0.00074896
22,51.2873,1.09008,1.36422,1.45061,0.5,0.57895,0.36543,0.12688,2.06174,21.405,5.52297,0.00075946,0.00075946,0.00075946
23,56.4158,1.32948,1.30719,1.66313,0.5,0.57895,0.36543,0.12688,2.06174,21.405,5.52297,0.000767584,0.000767584,0.000767584
24,57.901,1.21125,1.36097,1.55261,0.31111,0.73684,0.36552,0.18954,1.53027,20.4586,3.38531,0.000773332,0.000773332,0.000773332
25,59.3718,1.16764,1.1205,1.49006,0.31111,0.73684,0.36552,0.18954,1.53027,20.4586,3.38531,0.000776704,0.000776704,0.000776704
26,64.8082,1.05919,1.27997,1.44449,0.52,0.68421,0.53036,0.21272,1.98673,13.5297,5.38618,0.0007777,0.0007777,0.0007777
27,66.2776,1.36521,1.35906,1.66777,0.52,0.68421,0.53036,0.21272,1.98673,13.5297,5.38618,0.00077632,0.00077632,0.00077632
28,68.0922,1.36995,1.17762,1.46631,0.3763,0.89474,0.5759,0.26362,1.57266,10.0573,2.99782,0.000772564,0.000772564,0.000772564
29,70.7935,1.10463,1.17412,1.402,0.3763,0.89474,0.5759,0.26362,1.57266,10.0573,2.99782,0.000766432,0.000766432,0.000766432
30,72.8633,1.22335,1.30704,1.55105,0.3763,0.89474,0.5759,0.26362,1.57266,10.0573,2.99782,0.000757924,0.000757924,0.000757924
31,75.161,1.15892,1.32052,1.43004,0.4772,0.94737,0.62338,0.25827,1.49052,8.42994,2.86455,0.00074704,0.00074704,0.00074704
32,76.7874,1.10791,1.28836,1.4634,0.4772,0.94737,0.62338,0.25827,1.49052,8.42994,2.86455,0.00073378,0.00073378,0.00073378
33,78.3091,1.01801,0.99513,1.33544,0.62893,0.80326,0.76551,0.39375,1.60377,4.56291,2.54153,0.000718144,0.000718144,0.000718144
34,80.1367,1.13928,0.99321,1.4027,0.62893,0.80326,0.76551,0.39375,1.60377,4.56291,2.54153,0.0006932,0.0006932,0.0006932
35,81.5995,1.23881,1.44318,1.55275,0.62893,0.80326,0.76551,0.39375,1.60377,4.56291,2.54153,0.0006536,0.0006536,0.0006536
36,85.1196,0.97681,1.00212,1.30616,0.74318,0.84211,0.8879,0.50317,1.32097,1.60385,1.96024,0.000614,0.000614,0.000614
37,87.7572,0.98463,1.20705,1.41022,0.74318,0.84211,0.8879,0.50317,1.32097,1.60385,1.96024,0.0005744,0.0005744,0.0005744
38,90.1527,1.14937,1.11216,1.43941,0.74318,0.84211,0.8879,0.50317,1.32097,1.60385,1.96024,0.0005348,0.0005348,0.0005348
39,95.2803,0.9935,1.08452,1.3889,0.84545,0.94737,0.95034,0.60683,1.09283,1.34204,1.67525,0.0004952,0.0004952,0.0004952
40,97.9621,0.89215,0.93411,1.29819,0.84545,0.94737,0.95034,0.60683,1.09283,1.34204,1.67525,0.0004556,0.0004556,0.0004556
41,104.143,1.0214,1.1666,1.45022,0.82516,1,0.96538,0.75907,0.90964,1.13897,1.50401,0.000416,0.000416,0.000416
42,106.353,0.77825,0.93836,1.24725,0.82516,1,0.96538,0.75907,0.90964,1.13897,1.50401,0.0003764,0.0003764,0.0003764
43,111.741,0.89668,1.11609,1.3605,0.82516,1,0.96538,0.75907,0.90964,1.13897,1.50401,0.0003368,0.0003368,0.0003368
44,114.225,0.78821,1.02311,1.40983,1,0.98207,0.995,0.83583,0.68226,0.89045,1.25614,0.0002972,0.0002972,0.0002972
45,117.36,0.78152,1.01296,1.24286,1,0.98207,0.995,0.83583,0.68226,0.89045,1.25614,0.0002576,0.0002576,0.0002576
46,122.309,0.83871,1.03842,1.31369,1,0.98207,0.995,0.83583,0.68226,0.89045,1.25614,0.000218,0.000218,0.000218
47,128.445,0.79654,0.95534,1.30743,0.99531,1,0.995,0.86888,0.61728,0.719,1.21285,0.0001784,0.0001784,0.0001784
48,132.405,0.91297,0.87905,1.45786,0.99531,1,0.995,0.86888,0.61728,0.719,1.21285,0.0001388,0.0001388,0.0001388
49,135.1,0.69914,0.80735,1.15905,0.99597,1,0.995,0.87509,0.60781,0.67895,1.1741,9.92e-05,9.92e-05,9.92e-05
50,138.812,0.64604,0.79907,1.13592,0.99597,1,0.995,0.87509,0.60781,0.67895,1.1741,5.96e-05,5.96e-05,5.96e-05
