epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.98223,1.86557,4.2057,2.19156,0.44186,0.36842,0.3574,0.10614,1.91496,2.8928,2.42437,0.0001,0.0001,0.0001
2,11.4405,1.53923,2.57885,1.91007,0.56866,0.63158,0.5899,0.22028,1.75697,2.92726,2.25716,0.00021637,0.00021637,0.00021637
3,14.4601,1.62641,2.4754,1.84049,0.27151,0.60526,0.33132,0.1121,1.85327,5.36209,2.98833,0.00032878,0.00032878,0.00032878
4,16.9878,1.68056,2.01054,1.89058,0.20369,0.44737,0.17819,0.05396,2.36995,7.8854,3.12508,0.00043723,0.00043723,0.00043723
5,19.5872,1.7501,2.52049,2.04532,0.11844,0.26316,0.07593,0.01993,2.60533,11.1801,3.81401,0.00054172,0.00054172,0.00054172
6,23.2984,1.64285,2.13106,1.89242,0.34699,0.21053,0.22745,0.09499,2.1082,4.13572,2.96119,0.00064225,0.00064225,0.00064225
7,25.8128,1.6912,2.26864,2.11722,0.35816,0.5,0.27693,0.06847,2.40894,6.55132,3.58764,0.00073882,0.00073882,0.00073882
8,28.4924,1.68002,2.23939,2.00763,0.23083,0.73684,0.37795,0.15375,1.83388,19.312,2.9773,0.00083143,0.00083143,0.00083143
9,30.9506,1.72309,1.98626,2.12446,0.08187,0.36842,0.07358,0.02751,2.07363,96.3684,3.38487,0.00092008,0.00092008,0.00092008
10,33.9588,1.60185,2.08244,1.98257,0.01959,0.68421,0.01887,0.00649,2.4759,262.681,5.41117,0.00100477,0.00100477,0.00100477
11,36.6027,1.65974,1.84792,1.89758,0.03034,0.68421,0.03768,0.01576,2.24562,245.027,5.64981,0.0010855,0.0010855,0.0010855
12,39.2009,1.75889,2.19139,2.07276,0.00893,0.71053,0.00916,0.00286,2.46159,inf,9.40339,0.00116227,0.00116227,0.00116227
13,41.7062,1.63601,1.91311,1.96851,0.00494,0.86842,0.00582,0.00219,2.38231,inf,7.70493,0.00123508,0.00123508,0.00123508
14,44.2167,1.72835,2.1163,2.01825,0.00221,0.52632,0.00159,0.00063,2.76065,inf,12.8698,0.00130393,0.00130393,0.00130393
15,47.1311,1.66124,2.04691,1.99394,0.00221,0.52632,0.00159,0.00063,2.76065,inf,12.8698,0.00136882,0.00136882,0.00136882
16,49.6626,1.96187,2.00509,2.21288,0.01594,0.60526,0.02477,0.00893,2.56612,413.588,12.0448,0.00142975,0.00142975,0.00142975
17,52.1766,1.72115,1.96734,2.0196,0.01555,0.81579,0.02421,0.00885,2.45385,560.45,10.753,0.001472,0.001472,0.001472
18,54.797,1.72796,1.99599,2.0619,0.00797,0.34211,0.00698,0.00185,3.37659,658.837,36.466,0.001439,0.001439,0.001439
19,57.3065,1.59093,1.87402,1.92332,0.00797,0.34211,0.00698,0.00185,3.37659,658.837,36.466,0.001406,0.001406,0.001406
20,60.219,1.57518,1.83111,1.84624,0.00614,0.34211,0.00337,0.00073,4.05916,589.246,50.6115,0.001373,0.001373,0.001373
21,62.6982,1.6107,1.9832,1.83664,0.0021,0.5,0.00188,0.00045,3.5803,inf,31.1146,0.00134,0.00134,0.00134
22,65.1711,1.62956,1.91497,1.91916,0.00152,0.52632,0.00123,0.00035,nan,nan,nan,0.001307,0.001307,0.001307
23,67.651,1.53916,1.78255,1.81395,0.00152,0.52632,0.00123,0.00035,nan,nan,nan,0.001274,0.001274,0.001274
24,71.2329,1.48488,1.66158,1.75661,0.00098,0.34211,0.00072,0.00024,nan,nan,nan,0.001241,0.001241,0.001241
25,77.0159,1.57063,1.65946,1.82713,0.0012,0.34211,0.00082,0.00018,3.86879,inf,21.417,0.001208,0.001208,0.001208
