epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86156,1.46671,4.31411,1.62602,0.00333,1,0.00582,0.00187,2.19555,8.40108,2.96788,2e-05,2e-05,2e-05
2,4.96746,1.3599,4.07092,1.86565,0.00333,1,0.00588,0.00199,2.20686,8.34268,2.96181,5.8812e-05,5.8812e-05,5.8812e-05
3,6.08072,1.32348,4.08969,1.79243,0.4834,0.4,0.36602,0.15784,1.4948,4.43765,2.23545,9.604e-05,9.604e-05,9.604e-05
4,9.85427,1.12125,1.84336,1.59265,0.74241,0.7,0.78403,0.44928,1.23182,3.79807,1.93021,0.000131684,0.000131684,0.000131684
5,11.3962,1.21891,1.79552,1.52207,0.44642,0.5,0.41687,0.26018,1.32329,3.45017,1.94411,0.000165744,0.000165744,0.000165744
6,12.6032,1.19935,2.12263,1.74804,0.5625,0.3875,0.42925,0.26545,1.25195,2.31095,1.8987,0.00019822,0.00019822,0.00019822
7,14.2439,1.14457,1.65654,1.45445,0.80917,0.8,0.8692,0.61778,0.99986,2.15103,1.66856,0.000229112,0.000229112,0.000229112
8,20.069,1.17225,1.45721,1.4999,0.8261,0.7,0.87201,0.56212,1.21292,1.69279,1.89584,0.00025842,0.00025842,0.00025842
9,21.4844,1.07557,1.2122,1.29364,0.7943,0.77436,0.84206,0.48358,1.57327,2.25553,2.11594,0.000286144,0.000286144,0.000286144
10,22.9886,1.27201,1.45112,1.72557,0.48576,0.7,0.54156,0.33517,1.18419,3.29832,1.85555,0.000312284,0.000312284,0.000312284
11,24.2601,1.27585,1.93691,1.58681,0.89971,0.6,0.76468,0.43064,1.4149,3.09996,2.08994,0.00033684,0.00033684,0.00033684
12,25.5463,1.09792,1.15526,1.41435,0.89971,0.6,0.76468,0.43064,1.4149,3.09996,2.08994,0.000359812,0.000359812,0.000359812
13,27.2206,0.86865,1.04244,1.32884,0.60453,0.8,0.84765,0.3296,1.67331,4.47546,2.58794,0.0003812,0.0003812,0.0003812
14,29.8175,0.93574,1.12006,1.38089,0.75,0.3,0.62821,0.40171,1.21754,12.1766,2.15898,0.000401004,0.000401004,0.000401004
15,30.912,0.85669,1.02252,1.35788,0.75,0.3,0.62821,0.40171,1.21754,12.1766,2.15898,0.000419224,0.000419224,0.000419224
16,32.1027,0.91208,1.11005,1.35821,0.51344,0.8,0.73673,0.24333,1.73469,7.25724,2.96332,0.00043586,0.00043586,0.00043586
17,34.1684,1.09238,1.62953,1.56895,0.60974,0.3,0.41586,0.21327,1.42235,4.78801,2.69023,0.000450912,0.000450912,0.000450912
18,35.3492,1.0534,1.19101,1.3957,0.60974,0.3,0.41586,0.21327,1.42235,4.78801,2.69023,0.00046438,0.00046438,0.00046438
19,36.5094,1.14326,1.33095,1.35883,0.1674,0.7,0.26062,0.14723,1.65928,17.7761,2.81092,0.000476264,0.000476264,0.000476264
20,40.542,1.42223,1.69622,1.73515,0.1674,0.7,0.26062,0.14723,1.65928,17.7761,2.81092,0.000486564,0.000486564,0.000486564
21,41.7949,1.03302,1.08657,1.38139,0.85714,0.6,0.86845,0.39655,1.13441,7.94164,2.18427,0.00049528,0.00049528,0.00049528
22,42.9734,1.18978,1.2797,1.42809,0.85714,0.6,0.86845,0.39655,1.13441,7.94164,2.18427,0.000502412,0.000502412,0.000502412
23,44.4637,0.96755,1.08062,1.33563,0.875,0.7,0.80999,0.65217,0.7758,3.51507,1.58415,0.00050796,0.00050796,0.00050796
24,46.0855,0.5882,0.73657,1.0997,0.875,0.7,0.80999,0.65217,0.7758,3.51507,1.58415,0.000511924,0.000511924,0.000511924
25,50.9395,0.86376,0.97743,1.24653,0.83078,0.98318,0.88883,0.70826,0.77382,1.90156,1.52599,0.000514304,0.000514304,0.000514304
26,54.8841,1.02262,1.73842,1.4079,0.83078,0.98318,0.88883,0.70826,0.77382,1.90156,1.52599,0.0005151,0.0005151,0.0005151
27,56.8585,0.88051,0.89772,1.24874,0.83078,0.98318,0.88883,0.70826,0.77382,1.90156,1.52599,0.000514312,0.000514312,0.000514312
28,61.2121,0.95012,1.15146,1.37415,0.1632,0.6,0.17717,0.10642,1.29056,3.51052,2.09339,0.00051194,0.00051194,0.00051194
29,62.8021,1.0318,1.33918,1.3298,0.1632,0.6,0.17717,0.10642,1.29056,3.51052,2.09339,0.000507984,0.000507984,0.000507984
30,64.1827,0.98209,1.28117,1.41745,0.79989,0.9,0.85182,0.43443,1.47635,2.9459,2.79865,0.000502444,0.000502444,0.000502444
31,65.8784,0.77108,0.86196,1.17891,0.79989,0.9,0.85182,0.43443,1.47635,2.9459,2.79865,0.00049532,0.00049532,0.00049532
32,67.0706,0.79162,0.93172,1.18475,0.79989,0.9,0.85182,0.43443,1.47635,2.9459,2.79865,0.000486612,0.000486612,0.000486612
33,71.3284,1.03072,1.21697,1.45869,0.875,0.7,0.80991,0.48728,1.2282,4.53465,2.46176,0.00047632,0.00047632,0.00047632
34,72.6829,0.8051,0.67321,1.16891,0.875,0.7,0.80991,0.48728,1.2282,4.53465,2.46176,0.000464444,0.000464444,0.000464444
35,74.0033,0.83972,0.90342,1.32029,0.875,0.7,0.80991,0.48728,1.2282,4.53465,2.46176,0.000450984,0.000450984,0.000450984
36,75.7023,0.93747,1.01056,1.44895,0.65802,1,0.92192,0.46668,1.1731,4.14164,2.02607,0.00043594,0.00043594,0.00043594
37,81.6304,0.87496,0.91547,1.32105,0.65802,1,0.92192,0.46668,1.1731,4.14164,2.02607,0.000419312,0.000419312,0.000419312
38,85.5754,0.86978,0.9176,1.40115,0.65802,1,0.92192,0.46668,1.1731,4.14164,2.02607,0.0004011,0.0004011,0.0004011
39,86.9833,0.87975,0.98075,1.1388,1,0.5,0.73968,0.46862,1.22575,9.73254,2.43293,0.000381304,0.000381304,0.000381304
40,91.6616,0.78013,0.75895,1.1122,1,0.5,0.73968,0.46862,1.22575,9.73254,2.43293,0.000359924,0.000359924,0.000359924
41,93.6496,1.05091,1.17381,1.58023,1,0.5,0.73968,0.46862,1.22575,9.73254,2.43293,0.00033696,0.00033696,0.00033696
42,95.1643,1.34484,1.27938,1.9491,0.01776,0.8,0.09342,0.06908,1.08983,30.7918,2.00516,0.000312412,0.000312412,0.000312412
43,96.4008,0.65886,0.97917,1.27604,0.01776,0.8,0.09342,0.06908,1.08983,30.7918,2.00516,0.00028628,0.00028628,0.00028628
44,100.532,0.70029,1.08028,1.54309,0.01776,0.8,0.09342,0.06908,1.08983,30.7918,2.00516,0.000258564,0.000258564,0.000258564
45,102.01,1.39187,1.32704,1.8701,0.01776,0.8,0.09342,0.06908,1.08983,30.7918,2.00516,0.000229264,0.000229264,0.000229264
46,106.157,0.77501,1.01747,1.41318,0.05539,1,0.37841,0.31263,0.81382,14.1955,1.50262,0.00019838,0.00019838,0.00019838
47,110.71,0.535,0.7948,0.91443,0.05539,1,0.37841,0.31263,0.81382,14.1955,1.50262,0.000165912,0.000165912,0.000165912
48,112.279,0.6463,0.67289,1.1987,0.05539,1,0.37841,0.31263,0.81382,14.1955,1.50262,0.00013186,0.00013186,0.00013186
49,113.478,0.55571,0.71748,1.06251,0.05539,1,0.37841,0.31263,0.81382,14.1955,1.50262,9.6224e-05,9.6224e-05,9.6224e-05
50,115.516,0.51425,0.63089,1.03876,0.95564,1,0.995,0.76004,0.6634,3.46762,1.21142,5.9004e-05,5.9004e-05,5.9004e-05
