epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.795387,1.75534,3.49098,1.85241,0.07364,0.08696,0.05939,0.01896,1.9465,5.23527,2.37515,2e-05,2e-05,2e-05
2,2.03267,1.64844,3.53188,1.86498,0.07535,0.08696,0.06044,0.01941,1.93639,5.11267,2.33402,5.8812e-05,5.8812e-05,5.8812e-05
3,2.9858,1.40469,3.32929,1.47109,0.42442,0.6087,0.41293,0.21635,1.61192,1.95019,1.93642,9.604e-05,9.604e-05,9.604e-05
4,44.7693,1.10512,1.44117,1.25355,0.68517,0.6087,0.6947,0.51416,1.08169,1.93316,1.3248,0.000131684,0.000131684,0.000131684
5,57.0265,1.38595,1.85557,1.32905,0.91772,0.78261,0.85159,0.61572,1.08094,1.20454,1.28056,0.000165744,0.000165744,0.000165744
6,71.368,1.06819,1.03663,1.22114,0.74671,0.82609,0.88199,0.63009,1.05785,1.9455,1.25577,0.00019822,0.00019822,0.00019822
7,75.4282,1.02751,2.04572,1.3279,0.78937,0.81505,0.88234,0.63086,1.05316,1.89434,1.2523,0.000229112,0.000229112,0.000229112
8,82.02,1.01925,1.0813,1.16844,0.95328,0.88753,0.92869,0.65476,1.01151,1.09184,1.29879,0.00025842,0.00025842,0.00025842
9,97.9983,1.05245,0.96622,1.22253,0.94228,0.82609,0.90182,0.66807,0.92603,1.01234,1.27925,0.000286144,0.000286144,0.000286144
10,104.703,1.21623,0.95611,1.44537,1,0.951,0.97457,0.75563,0.84084,0.74147,1.26431,0.000312284,0.000312284,0.000312284
11,110.505,0.97471,1.12194,1.21995,0.86085,0.86957,0.92227,0.69742,0.90193,1.75612,1.29245,0.00033684,0.00033684,0.00033684
12,116.406,0.93755,1.0788,1.16873,0.86085,0.86957,0.92227,0.69742,0.90193,1.75612,1.29245,0.000359812,0.000359812,0.000359812
13,118.427,0.91385,1.06766,1.22282,0.9948,0.95652,0.95683,0.75013,0.88022,0.98485,1.2297,0.0003812,0.0003812,0.0003812
14,122.168,0.99652,0.81206,1.19748,0.93248,0.73913,0.80843,0.65722,0.83171,1.16415,1.20111,0.000401004,0.000401004,0.000401004
15,126.654,0.98451,1.12877,1.13268,0.93248,0.73913,0.80843,0.65722,0.83171,1.16415,1.20111,0.000419224,0.000419224,0.000419224
16,132.774,0.90887,0.9414,1.10919,1,0.7341,0.76611,0.65885,0.78584,1.42958,1.133,0.00043586,0.00043586,0.00043586
17,136.477,0.87826,0.78209,1.07485,0.95271,0.69565,0.71686,0.56279,0.92288,2.04379,1.30764,0.000450912,0.000450912,0.000450912
18,158.594,0.92329,0.78552,1.20383,0.95271,0.69565,0.71686,0.56279,0.92288,2.04379,1.30764,0.00046438,0.00046438,0.00046438
19,165.584,0.80374,0.74263,1.05385,0.99181,0.69565,0.75788,0.59584,0.99431,1.29029,1.42747,0.000476264,0.000476264,0.000476264
20,171.709,1.02534,0.99764,1.2344,0.99181,0.69565,0.75788,0.59584,0.99431,1.29029,1.42747,0.000486564,0.000486564,0.000486564
21,177.914,0.84418,0.75527,1.09492,0.92749,0.82609,0.83891,0.64371,0.80526,1.14476,1.23909,0.00049528,0.00049528,0.00049528
22,184.019,0.85151,0.90574,1.08685,0.92749,0.82609,0.83891,0.64371,0.80526,1.14476,1.23909,0.000502412,0.000502412,0.000502412
23,190.196,0.83798,0.76189,1.06648,0.90392,0.81843,0.84187,0.69228,0.701,1.19705,1.1183,0.00050796,0.00050796,0.00050796
24,194.244,0.87699,0.67314,1.11141,0.90392,0.81843,0.84187,0.69228,0.701,1.19705,1.1183,0.000511924,0.000511924,0.000511924
25,196.238,0.75294,0.67783,1.14061,0.89692,0.82609,0.82735,0.6968,0.75734,1.24493,1.14732,0.000514304,0.000514304,0.000514304
26,200.797,0.86663,0.65191,1.16334,0.89692,0.82609,0.82735,0.6968,0.75734,1.24493,1.14732,0.0005151,0.0005151,0.0005151
27,206.733,0.79454,0.57459,1.00764,0.89692,0.82609,0.82735,0.6968,0.75734,1.24493,1.14732,0.000514312,0.000514312,0.000514312
28,211.538,0.83737,0.62488,1.14147,0.98239,0.86957,0.87726,0.7063,0.76124,0.94185,1.22054,0.00051194,0.00051194,0.00051194
29,213.055,0.74221,0.72488,1.21278,0.98239,0.86957,0.87726,0.7063,0.76124,0.94185,1.22054,0.000507984,0.000507984,0.000507984
30,232.999,0.83997,0.71382,1.16395,0.616,0.78261,0.79359,0.61706,0.85251,1.87033,1.33158,0.000502444,0.000502444,0.000502444
31,241.386,0.87774,0.63521,1.23183,0.616,0.78261,0.79359,0.61706,0.85251,1.87033,1.33158,0.00049532,0.00049532,0.00049532
32,247.492,0.91437,0.6569,1.15062,0.616,0.78261,0.79359,0.61706,0.85251,1.87033,1.33158,0.000486612,0.000486612,0.000486612
33,253.292,0.8271,0.77976,1.17828,0.13395,0.78261,0.16399,0.13897,0.60064,5.22131,1.06268,0.00047632,0.00047632,0.00047632
34,254.627,0.87024,0.6577,1.09767,0.13395,0.78261,0.16399,0.13897,0.60064,5.22131,1.06268,0.000464444,0.000464444,0.000464444
35,257.462,0.70182,0.63847,1.00235,0.13395,0.78261,0.16399,0.13897,0.60064,5.22131,1.06268,0.000450984,0.000450984,0.000450984
