epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.92179,2.14834,4.35453,2.36702,0.22284,0.25357,0.14904,0.05353,2.35545,6.78794,2.78627,0.00010002,0.00010002,0.00010002
2,9.6162,2.15625,3.55699,2.05492,0.54618,0.24464,0.18902,0.07685,1.84164,6.42245,2.16779,0.000213134,0.000213134,0.000213134
3,15.3003,1.85439,3.19778,1.92638,0.40524,0.42946,0.31264,0.1291,1.65235,7.27477,2.05789,0.000322398,0.000322398,0.000322398
4,21.2025,1.57046,3.86405,1.6613,0.17166,0.28839,0.17852,0.05587,1.69634,11.8401,2.11855,0.000427811,0.000427811,0.000427811
5,24.1353,1.78284,2.39892,1.96168,0.03941,0.19375,0.02673,0.0117,1.68893,51.4019,2.33829,0.000529373,0.000529373,0.000529373
6,27.3424,1.64558,2.24764,1.85871,0.34569,0.31964,0.10768,0.05634,2.18918,34.0249,3.18407,0.000627084,0.000627084,0.000627084
7,30.8903,1.63263,2.55124,1.95217,0.32295,0.21964,0.05702,0.02535,2.78711,24.1385,3.5694,0.000720944,0.000720944,0.000720944
8,33.7202,1.84518,2.49705,2.12731,0.21113,0.11429,0.09674,0.0267,1.92614,4.56581,2.92102,0.000810954,0.000810954,0.000810954
9,36.6378,1.79457,2.44378,1.95509,0.28057,0.10536,0.07125,0.03521,2.40712,4.14408,3.05999,0.000897113,0.000897113,0.000897113
10,39.9139,1.82903,2.47295,2.14685,0.2779,0.16518,0.13113,0.06668,2.52385,14.3349,3.39923,0.000979421,0.000979421,0.000979421
11,45.7755,1.57979,2.20043,1.8479,0.11104,0.12452,0.08816,0.05459,2.21727,21.9484,2.7545,0.00105788,0.00105788,0.00105788
12,48.7125,1.51524,1.91962,1.67389,0.12758,0.13125,0.08213,0.05126,2.25062,17.2378,2.7795,0.00113248,0.00113248,0.00113248
13,51.9094,1.67467,1.99507,1.79231,0.015,0.11696,0.00949,0.00325,2.28334,59.0774,3.05284,0.00120324,0.00120324,0.00120324
14,55.0241,1.66948,2.36261,1.73407,0.015,0.11696,0.00949,0.00325,2.28334,59.0774,3.05284,0.00127015,0.00127015,0.00127015
15,57.9576,1.64385,2.09548,1.90214,0.18029,0.12796,0.11292,0.05875,2.56092,6.05408,3.34431,0.00128192,0.00128192,0.00128192
16,60.8801,1.42308,1.80684,1.65107,0.01216,0.33661,0.00915,0.00415,2.06314,37.4495,2.47552,0.00125442,0.00125442,0.00125442
17,64.3299,1.84743,1.98017,2.13343,0.0344,0.22768,0.04828,0.0227,2.04238,50.5508,2.3852,0.00122691,0.00122691,0.00122691
18,67.4885,1.55548,1.7592,1.73087,0.00626,0.54464,0.00516,0.00251,2.4548,inf,3.00867,0.00119941,0.00119941,0.00119941
19,70.3281,1.5525,1.86657,1.71152,0.27403,0.17411,0.15542,0.0901,1.71535,5.45447,1.95575,0.0011719,0.0011719,0.0011719
20,76.7616,1.43323,1.84995,1.76947,0.54417,0.33393,0.34011,0.18894,1.7175,3.87024,1.97231,0.0011444,0.0011444,0.0011444
21,80.4244,1.5736,1.56605,1.84721,0.31139,0.53929,0.35056,0.19704,1.50808,4.88702,1.84858,0.00111689,0.00111689,0.00111689
22,86.7106,1.52887,1.49072,1.82921,0.31139,0.53929,0.35056,0.19704,1.50808,4.88702,1.84858,0.00108938,0.00108938,0.00108938
23,90.3572,1.41837,1.49472,1.5042,0.38168,0.58697,0.46188,0.25243,1.58854,4.41269,1.99325,0.00106188,0.00106188,0.00106188
24,93.616,1.29238,1.58653,1.63809,0.43811,0.51339,0.42561,0.24948,1.48563,3.97713,1.913,0.00103437,0.00103437,0.00103437
25,96.5102,1.32095,1.42082,1.54898,0.80242,0.39367,0.39912,0.22379,1.58617,6.01209,2.03704,0.00100687,0.00100687,0.00100687
26,99.4194,1.35878,1.42839,1.56043,0.57749,0.51071,0.64355,0.41552,1.11554,4.62976,1.54319,0.000979362,0.000979362,0.000979362
27,103.483,1.17018,1.34239,1.53191,0.69184,0.4256,0.61914,0.40045,1.09562,3.0312,1.54322,0.000951857,0.000951857,0.000951857
28,106.472,1.28135,1.3818,1.57638,0.73502,0.53786,0.6565,0.42267,1.14413,2.41112,1.55258,0.000924352,0.000924352,0.000924352
29,109.808,1.34256,1.56085,1.75434,0.46688,0.73214,0.63826,0.38812,1.41596,2.57416,1.79376,0.000896846,0.000896846,0.000896846
30,112.841,1.33891,1.3585,1.58818,0.46688,0.73214,0.63826,0.38812,1.41596,2.57416,1.79376,0.00086934,0.00086934,0.00086934
31,116.174,1.23497,1.42393,1.58029,0.76019,0.76071,0.8332,0.54989,1.20686,1.41751,1.5907,0.000841835,0.000841835,0.000841835
32,121.608,1.30186,1.21968,1.43717,0.84078,0.69445,0.84901,0.58767,1.10983,1.48027,1.46327,0.000814329,0.000814329,0.000814329
33,125.073,1.21817,1.12484,1.40504,0.74872,0.599,0.66856,0.44935,1.22966,2.04856,1.60646,0.000786824,0.000786824,0.000786824
34,128.35,1.14907,1.15582,1.35935,0.7629,0.58214,0.62142,0.42498,1.10582,1.92651,1.51409,0.000759318,0.000759318,0.000759318
35,131.345,1.08443,1.24484,1.37515,0.86319,0.52615,0.73772,0.50265,1.24791,1.67492,1.60713,0.000731813,0.000731813,0.000731813
36,134.658,0.9844,1.08501,1.19924,0.77676,0.82946,0.9039,0.63079,1.14694,0.98446,1.56901,0.000704307,0.000704307,0.000704307
37,140.285,1.05837,1.09195,1.33855,0.88811,0.79574,0.89641,0.65323,0.97867,0.85611,1.40289,0.000676802,0.000676802,0.000676802
38,144.039,1.07485,1.25258,1.38925,0.88811,0.79574,0.89641,0.65323,0.97867,0.85611,1.40289,0.000649297,0.000649297,0.000649297
39,147.516,1.15675,1.04805,1.33023,0.82028,0.80017,0.85919,0.63463,0.91843,0.89518,1.35929,0.000621791,0.000621791,0.000621791
40,150.605,1.19243,1.19023,1.48378,0.84602,0.75993,0.82586,0.59705,1.01933,1.09638,1.43305,0.000594286,0.000594286,0.000594286
41,153.825,1.18112,1.0664,1.37993,0.81944,0.70351,0.78831,0.5808,1.06857,1.26432,1.42844,0.00056678,0.00056678,0.00056678
42,156.742,1.01961,1.026,1.28695,0.94314,0.66696,0.8231,0.6131,0.93762,1.19938,1.36242,0.000539275,0.000539275,0.000539275
43,162.662,1.09477,1.02237,1.36945,0.82079,0.75804,0.84953,0.64109,1.00321,0.97228,1.36154,0.000511769,0.000511769,0.000511769
44,165.98,0.9794,1.0732,1.34692,0.90279,0.91087,0.93237,0.71503,1.01065,0.88576,1.39895,0.000484263,0.000484263,0.000484263
45,174.868,1.00529,0.97432,1.33919,0.94873,0.91161,0.95965,0.72109,0.9362,0.80706,1.33573,0.000456758,0.000456758,0.000456758
46,178.612,0.95844,0.94804,1.23746,0.94873,0.91161,0.95965,0.72109,0.9362,0.80706,1.33573,0.000429253,0.000429253,0.000429253
47,182.014,0.9743,1.01005,1.23791,0.97121,0.87945,0.96038,0.75106,0.81738,0.78054,1.26263,0.000401747,0.000401747,0.000401747
48,191.278,0.92787,0.92188,1.20301,0.97313,0.87141,0.96617,0.76228,0.79333,0.70472,1.24032,0.000374242,0.000374242,0.000374242
49,195.206,1.09742,1.10458,1.46283,0.88306,0.94602,0.9685,0.76556,0.77803,0.69375,1.24486,0.000346736,0.000346736,0.000346736
