epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.38184,1.84642,3.89144,2.01818,0.16685,0.5,0.19673,0.06461,2.13547,3.09144,2.74441,2e-05,2e-05,2e-05
2,3.24853,1.98143,2.86275,2.23737,0.19707,0.59644,0.19686,0.06725,2.1303,3.08152,2.74013,5.8812e-05,5.8812e-05,5.8812e-05
3,4.627,1.90907,2.78447,2.28653,0.62111,0.85714,0.84897,0.47595,1.07882,7.50023,1.53609,9.604e-05,9.604e-05,9.604e-05
4,13.6981,1.31092,2.10804,1.64414,0.75408,0.78571,0.85483,0.68336,0.67969,2.96244,1.24471,0.000131684,0.000131684,0.000131684
5,27.7697,0.98643,1.57376,1.33705,0.72793,0.85714,0.86181,0.68833,0.6945,2.56862,1.25159,0.000165744,0.000165744,0.000165744
6,39.6861,1.28306,1.8213,1.54254,0.84723,0.92857,0.94658,0.74189,0.77938,2.25138,1.27037,0.00019822,0.00019822,0.00019822
7,48.1454,1.07371,1.39033,1.35416,1,0.63429,0.8491,0.63451,0.88183,1.33612,1.26694,0.000229112,0.000229112,0.000229112
8,54.3567,1.01322,1.5326,1.3128,0.66085,0.78571,0.77551,0.5371,1.02319,2.63369,1.40646,0.00025842,0.00025842,0.00025842
9,56.1031,0.97332,1.31462,1.32861,0.77689,0.85714,0.76145,0.51735,1.05155,3.20744,1.51526,0.000286144,0.000286144,0.000286144
10,58.0884,0.94744,1.23114,1.37146,0.68597,0.78571,0.71607,0.42324,1.28302,2.31278,1.72866,0.000312284,0.000312284,0.000312284
11,64.7181,1.0069,1.44085,1.37013,0.65666,0.78571,0.686,0.31181,1.82608,3.34892,2.59167,0.00033684,0.00033684,0.00033684
12,68.2189,1.16786,1.29947,1.44724,0.65666,0.78571,0.686,0.31181,1.82608,3.34892,2.59167,0.000359812,0.000359812,0.000359812
13,74.8519,0.99985,1.34032,1.37666,0.72106,0.92349,0.80635,0.48177,1.37148,2.21277,1.88899,0.0003812,0.0003812,0.0003812
14,77.0032,1.00206,1.14451,1.43477,0.84715,0.5,0.5895,0.46802,1.03424,2.81482,1.60263,0.000401004,0.000401004,0.000401004
15,79.7114,0.95353,1.07238,1.35303,0.84715,0.5,0.5895,0.46802,1.03424,2.81482,1.60263,0.000419224,0.000419224,0.000419224
16,89.2689,1.04292,1.21731,1.39822,0.80477,0.92857,0.89425,0.60405,1.07722,6.39434,1.84313,0.00043586,0.00043586,0.00043586
17,95.4881,0.91216,0.99901,1.27182,0.86512,0.78571,0.81796,0.44398,1.45345,3.03788,2.81126,0.000450912,0.000450912,0.000450912
18,99.1263,0.92296,0.9646,1.19529,0.86512,0.78571,0.81796,0.44398,1.45345,3.03788,2.81126,0.00046438,0.00046438,0.00046438
19,103.642,1.01734,1.12851,1.2631,0.832,0.70798,0.79993,0.42202,1.31736,2.68539,2.1578,0.000476264,0.000476264,0.000476264
20,109.628,0.968,1.02938,1.27156,0.832,0.70798,0.79993,0.42202,1.31736,2.68539,2.1578,0.000486564,0.000486564,0.000486564
21,113.484,1.06456,1.18304,1.41602,1,0.78571,0.86085,0.52717,1.03912,4.45362,1.74204,0.00049528,0.00049528,0.00049528
22,119.861,0.88932,0.99211,1.24009,1,0.78571,0.86085,0.52717,1.03912,4.45362,1.74204,0.000502412,0.000502412,0.000502412
23,123.721,0.989,1.16081,1.37382,0.64286,0.64286,0.55491,0.32125,1.32269,7.63813,2.39704,0.00050796,0.00050796,0.00050796
24,128.881,1.08828,1.07983,1.42706,0.64286,0.64286,0.55491,0.32125,1.32269,7.63813,2.39704,0.000511924,0.000511924,0.000511924
25,136.442,1.14158,1.04435,1.30089,1,0.5,0.61544,0.392,1.22485,12.6137,2.40014,0.000514304,0.000514304,0.000514304
26,139.136,0.88554,0.87171,1.37055,1,0.5,0.61544,0.392,1.22485,12.6137,2.40014,0.0005151,0.0005151,0.0005151
27,140.733,0.76129,0.64159,1.08128,1,0.5,0.61544,0.392,1.22485,12.6137,2.40014,0.000514312,0.000514312,0.000514312
28,146.567,0.95067,0.88995,1.31854,0.03955,0.5,0.03965,0.02746,1.21545,39.2514,1.84199,0.00051194,0.00051194,0.00051194
29,148.394,0.98979,0.91005,1.3153,0.03955,0.5,0.03965,0.02746,1.21545,39.2514,1.84199,0.000507984,0.000507984,0.000507984
30,150.347,0.8202,0.80733,1.16535,0.02609,0.42857,0.05022,0.03354,1.26203,45.2061,2.0246,0.000502444,0.000502444,0.000502444
31,152.019,0.9363,0.86874,1.31628,0.02609,0.42857,0.05022,0.03354,1.26203,45.2061,2.0246,0.00049532,0.00049532,0.00049532
32,157.162,0.86012,0.76514,1.23969,0.02609,0.42857,0.05022,0.03354,1.26203,45.2061,2.0246,0.000486612,0.000486612,0.000486612
33,161.014,0.84739,0.82673,1.2402,0.15765,0.78571,0.59311,0.44254,0.78547,7.15523,1.45936,0.00047632,0.00047632,0.00047632
34,162.844,0.87348,0.78466,1.19687,0.15765,0.78571,0.59311,0.44254,0.78547,7.15523,1.45936,0.000464444,0.000464444,0.000464444
35,167.01,0.73694,0.72128,1.12624,0.15765,0.78571,0.59311,0.44254,0.78547,7.15523,1.45936,0.000450984,0.000450984,0.000450984
36,168.529,0.87467,0.80411,1.3445,0.67409,0.92857,0.94155,0.74505,0.69047,2.69509,1.14284,0.00043594,0.00043594,0.00043594
37,170.756,0.87532,0.83824,1.18373,0.67409,0.92857,0.94155,0.74505,0.69047,2.69509,1.14284,0.000419312,0.000419312,0.000419312
38,175.848,0.91262,0.80766,1.28409,0.67409,0.92857,0.94155,0.74505,0.69047,2.69509,1.14284,0.0004011,0.0004011,0.0004011
39,181.784,0.7627,0.70877,1.19497,0.81491,0.94415,0.91363,0.71641,0.75614,2.06807,1.20507,0.000381304,0.000381304,0.000381304
40,185.561,0.80346,0.83798,1.21512,0.81491,0.94415,0.91363,0.71641,0.75614,2.06807,1.20507,0.000359924,0.000359924,0.000359924
41,188.647,0.60015,0.83936,1.08289,0.81491,0.94415,0.91363,0.71641,0.75614,2.06807,1.20507,0.00033696,0.00033696,0.00033696
42,190.93,0.72148,1.10977,1.19795,0.70614,0.85714,0.89552,0.69144,0.77286,1.41577,1.18483,0.000312412,0.000312412,0.000312412
43,195.956,0.64684,0.90755,1.14665,0.70614,0.85714,0.89552,0.69144,0.77286,1.41577,1.18483,0.00028628,0.00028628,0.00028628
44,197.743,0.55746,0.61138,1.07058,0.70614,0.85714,0.89552,0.69144,0.77286,1.41577,1.18483,0.000258564,0.000258564,0.000258564
45,200.339,0.77178,0.83416,1.35249,0.70614,0.85714,0.89552,0.69144,0.77286,1.41577,1.18483,0.000229264,0.000229264,0.000229264
